ID,sexo,año,pob
03003,Mujer,1991,81452
03003,Mujer,1992,83122
03003,Mujer,1993,84792
03003,Mujer,1994,86462
03003,Mujer,1995,88136
03003,Mujer,1996,89809
03003,Mujer,1997,91480
03003,Mujer,1998,93149
03003,Mujer,1999,94818
03003,Mujer,2000,96530
03003,Mujer,2001,99106
03003,Mujer,2002,101729
03003,Mujer,2003,104346
03003,Mujer,2004,106969
03003,Mujer,2005,109670
03003,Mujer,2006,112722
03003,Mujer,2007,115837
03003,Mujer,2008,118950
03003,Mujer,2009,122065
03003,Mujer,2010,125217
03003,Mujer,2011,127738
03003,Mujer,2012,130464
03003,Mujer,2013,133177
03003,Mujer,2014,135903
03003,Mujer,2015,138728
03008,Hombre,1990,22640
03008,Hombre,1991,25791
03008,Hombre,1992,28969
03008,Hombre,1993,32138
03008,Hombre,1994,35317
03008,Hombre,1995,38495
03008,Hombre,1996,41673
03008,Hombre,1997,44849
03008,Hombre,1998,48021
03008,Hombre,1999,51202
03008,Hombre,2000,54449
